box,ahu,n,k,r2_uncentred,r2_centred,var_x,sigma_eps_k,eiv_bias_in_k,k_debiased,tau_euler_h,tau_exact_h,tau_exact_debiased_h
vav_8_1_22,1,826,0.21275514910607152,0.7048108792516594,0.6635653643934244,0.3689214102216473,0.027413317549357094,0.001603611501320627,0.2111482643933686,1.1750596920940308,1.0450807729123794,1.0540655958777243
vav_8_1_25,1,826,0.2591817357135748,0.8173390274488976,0.7617227007518784,0.3635545484972999,0.009431768303550322,0.0001812710062345637,0.25900042034123644,0.964574140657343,0.8333334968339111,0.8340138303815781
vav_8_1_26,1,826,0.2295893759489073,0.8410964312706457,0.7920907193663871,0.3902028965114746,0.014232217079056975,0.00039992347073899504,0.22918924476835037,1.088900559822223,0.9584727191282806,0.9603845624308919
vav_8_1_27,1,826,0.13430495017176747,0.9005598059349239,0.8138978600215654,0.22074401919123932,0.01287280823800154,0.0006498641625375192,0.13365459779955405,1.8614354845466674,1.7334318887941045,1.7425051110134913
vav_8_1_28,1,826,0.15610768905922406,0.9493553259999942,0.9077802228489998,0.9774074696557697,0.09570363325927887,0.007908028523988626,0.1481248542063946,1.6014585925050437,1.4729242394280018,1.5594269018576665
vav_8_1_3,1,826,0.22778229991123655,0.9202491706654063,0.8764846341154953,0.3473023745408406,0.02649133856834839,0.0015604138827496634,0.22621872652875977,1.097539185869233,0.9671599905373203,0.9747879376135827
vav_8_1_4,1,826,0.28270106228345704,0.8288609596501972,0.7521818167115977,0.2812776877605355,0.04757024473533426,0.005770795385742616,0.2768834632965596,0.8843263551282007,0.7524169208607084,0.7711648866349168
vav_8_1_5,1,826,0.26817373081899604,0.8729316190437266,0.8134456405248559,0.31259931328461515,0.05827516392711695,0.007950363447175625,0.2601360481525433,0.9322315024536747,0.8007376257302549,0.8297682105930684
vav_8_1_7,1,826,0.3576044471538288,0.3419977566782759,0.30119154385868785,0.47951064000562554,0.14129887180513748,0.026747405756351594,0.3296949755030588,0.699096451371755,0.5649065936290185,0.6249649867217175
vav_8_1_8,1,826,0.1946625200630041,0.901586698978705,0.846075393979115,0.17351288135383328,0.03617701856830836,0.006074516767867215,0.1885418360690005,1.2842739317208338,1.1547671623068405,1.1966162715700026
vav_8_2_1,2,802,0.27563206896739195,0.8925807136047508,0.8534320429615267,0.3323775653043587,0.005541225536805879,6.691741668545259e-05,0.27556514536827603,0.9070062164267819,0.7752999997689453,0.7755221895169279
vav_8_2_10,2,802,0.23130130266914736,0.890642103303015,0.8481342029745713,0.3211229797824306,0.004490088387599647,4.8260802626429534e-05,0.23125303883639833,1.0808412971093344,0.9503672697952307,0.9505941510570103
vav_8_2_11,2,802,0.28174559834378166,0.8570938004538378,0.810485874978703,0.30320832277923976,0.007290945501679742,0.00012592294787235745,0.28161965331547484,0.8873253086103366,0.7554434547045444,0.755843914326709
vav_8_2_12,2,802,0.23939854483519402,0.8949493735300234,0.8502607842411335,0.32597246814102504,0.005720342961206547,7.635199096345043e-05,0.23932218517896545,1.044283707622802,0.9135898563938346,0.9139251358130177
vav_8_2_13,2,802,0.23449833563623831,0.906034353359422,0.8629242889289093,0.32671970984090404,0.00540373506223711,6.841619241057017e-05,0.23442991332863036,1.066105647708342,0.9355450978194519,0.9358581140796206
vav_8_2_14,2,802,0.21371729969651773,0.8911226882755887,0.8492553488997778,0.3609270026848843,0.004787621539638925,4.993430044139283e-05,0.21366736222470717,1.169769599162091,1.039765275542383,1.0400399886481428
vav_8_2_15,2,790,0.22572151672855326,0.8774675837531725,0.8373310114791603,0.4054764595969735,0.004195147641455992,3.360671355348483e-05,0.2256879085562737,1.1075594547800394,0.9772355992837038,0.9774014321168822
vav_8_2_16,2,802,0.21870110263553255,0.7891016027333623,0.7369496684727315,0.3247931746217063,0.004106081286203822,4.055696075557513e-05,0.2186605435693696,1.1431126637556435,1.0129762613064235,1.0131893740151419
vav_8_2_17,2,802,0.22200470320754484,0.8557050176545116,0.8119601119563711,0.3182759793280538,0.004344073336766763,4.612829529782352e-05,0.22195857217708165,1.1261022689518576,0.9958778620509238,0.9961131382778385
vav_8_2_18,2,754,0.19585393236835008,0.8317159225120971,0.7882059165101843,0.2925615459820897,0.0037599629819139234,3.88583932099386e-05,0.19581507209731253,1.2764614780867167,1.1469239377619571,1.1471782609191623
vav_8_2_19,2,802,0.2176333255462038,0.8183004084197492,0.7744661544510779,0.30457980153914355,0.004878783434449194,6.11409700333886e-05,0.2175721797977072,1.1487211316215664,1.018613096041279,1.0189375520092743
vav_8_2_2,2,802,0.2665062118264544,0.8830396314790712,0.8426158735596551,0.39119075289020516,0.005714974195941816,6.124017282665792e-05,0.26644496654019395,0.9380644386735607,0.8066177496643891,0.8068351051721672
vav_8_2_20,2,802,0.19022517527720337,0.8376207692720409,0.7948526984769804,0.3348987544015472,0.004379556585154186,4.637789386423312e-05,0.19017879472700533,1.314231933999748,1.184839378448202,1.1851610821374075
vav_8_2_21,2,802,0.22635794049747984,0.7057201205357883,0.6508765071241329,0.4212915640211005,0.0050181256410714754,4.624240052657269e-05,0.22631169533277132,1.1044454612485015,0.9741045306947121,0.9743314573737248
vav_8_2_22,2,802,0.18624564956601022,0.8185132986844263,0.7768507437784388,0.43911908689796697,0.004482002128629356,3.722675024372974e-05,0.18620842111267963,1.3423132329938994,1.2130225874850278,1.213291905816834
vav_8_2_23,2,802,0.14085756430266066,0.939474453142335,0.8815689432956708,0.4967156279714918,0.005945671855110217,6.114475647155754e-05,0.14079641519423627,1.7748425598416921,1.6466808460096736,1.6474531566239594
vav_8_2_25,2,802,0.20061481453028285,0.8704385682678573,0.8175193964538306,0.35602363481276805,0.0064291956441150724,9.280909745108436e-05,0.20052199465638898,1.2461691853881631,1.116508237803779,1.1170874914521505
vav_8_2_26,2,802,0.21699837403511898,0.8789998676540474,0.837494296852151,0.4449011980960448,0.007128480131780253,8.943200668504554e-05,0.2169089318126219,1.1520823651864784,1.0219911800075927,1.0224686127932312
vav_8_2_27,2,802,0.20095098257578425,0.7769719476757672,0.7257581011134062,0.8240044428850815,0.01254879154907174,0.00015270303852230152,0.20079825034922144,1.2440844866519525,1.1144147980804207,1.115365051962863
vav_8_2_28,2,802,0.10874074063185393,0.844087328012181,0.7103859996344288,0.33395626996170025,0.005761547049343209,8.859162719163357e-05,0.10865214019773373,2.29904632382802,2.171648521768852,2.1735253496519147
vav_8_2_3,2,802,0.21345269702469283,0.8685565925804258,0.8133343026006239,0.30868324932678237,0.00447507396566471,5.102843144671236e-05,0.21340166528248558,1.1712196823218368,1.0412223482433915,1.0415037752566472
vav_8_2_4,2,802,0.26263861825578666,0.814048136046472,0.7298798965355974,0.28959431935745145,0.00848878820915259,0.00018347704896741932,0.2624550955410074,0.951878294442298,0.8205406521979941,0.8212114173140997
vav_8_2_5,2,802,0.22573970856405498,0.9041948422308147,0.852603098192717,0.32283943088588035,0.00602206369688539,8.697433229369133e-05,0.22565272446064893,1.1074701991522284,0.977145855764348,0.9775750936277086
vav_8_2_6,2,802,0.2362177822749368,0.8632442004785937,0.7731383343453362,0.3649550653132803,0.008084209818704053,0.00013677455192689513,0.23608098322567517,1.05834538616158,0.9277381566345586,0.9283551410630327
vav_8_2_7,2,802,0.2582103810825836,0.8716850542390963,0.812456470805424,0.37952883609729793,0.013595683273161848,0.00036127511664639056,0.2578489299277388,0.968202745961799,0.8369892788612562,0.8383566038593612
vav_8_2_8,2,802,0.22517481874399148,0.9344892222747696,0.8957513973642912,0.2548793266862805,0.00676731410035106,0.00013922004962363556,0.2250355736749107,1.11024847891288,0.9799392802416431,0.9806299992538214
vav_8_2_9,2,802,0.14441039706628206,0.8575711166735789,0.757607391301498,0.3516876713103851,0.0065873233013869345,0.00010556654595639524,0.14430481749343663,1.73117729110082,1.602929348186798,1.604198519041994
